id,artistName,endTime,msPlayed,trackName
1,Cigarettes After Sex,2023-10-29 18:11:00,292853,Touch
2,Cigarettes After Sex,2023-10-29 18:16:00,285146,Hentai
3,Cigarettes After Sex,2023-10-29 18:20:00,256800,Cry
4,Cigarettes After Sex,2023-10-29 18:25:00,245840,Falling In Love
5,Cigarettes After Sex,2023-10-29 18:29:00,254626,Pure
6,Cigarettes After Sex,2023-10-29 18:51:00,264453,You're All I Want
7,Cigarettes After Sex,2023-10-29 18:53:00,126124,Sunsetz
8,Cigarettes After Sex,2023-10-30 10:46:00,77046,K.
9,Roxy Music,2023-10-30 10:46:00,33152,More Than This
10,Roxy Music,2023-10-30 10:47:00,39125,More Than This
11,Cigarettes After Sex,2023-10-30 10:52:00,286293,Nothing's Gonna Hurt You Baby
12,Cigarettes After Sex,2023-10-30 13:12:00,225369,Apocalypse
13,Whitney Houston,2023-10-30 13:12:00,3274,I Wanna Dance with Somebody (Who Loves Me)
14,Pitbull,2023-10-30 13:15:00,1834,Give Me Everything (feat. Nayer)
15,Cigarettes After Sex,2023-10-30 13:19:00,290616,Apocalypse
16,Cigarettes After Sex,2023-10-30 13:24:00,320030,K.
17,Cigarettes After Sex,2023-10-30 13:28:00,215150,Sunsetz
18,Cigarettes After Sex,2023-10-30 13:32:00,256800,Cry
19,Cigarettes After Sex,2023-10-30 13:37:00,292110,Sweet
20,Cigarettes After Sex,2023-10-30 13:48:00,69381,Heavenly
21,Cigarettes After Sex,2023-10-30 14:55:00,3068,Nothing's Gonna Hurt You Baby
22,Cigarettes After Sex,2023-10-30 16:33:00,286256,Nothing's Gonna Hurt You Baby
23,Cigarettes After Sex,2023-10-30 16:37:00,245840,Falling In Love
24,Cigarettes After Sex,2023-10-30 16:41:00,234174,Pistol
25,Cigarettes After Sex,2023-10-30 16:46:00,264453,You're All I Want
26,Cigarettes After Sex,2023-10-30 16:50:00,262560,Don't Let Me Go
27,Cigarettes After Sex,2023-10-30 16:55:00,269933,Kiss It Off Me
28,Cigarettes After Sex,2023-10-30 16:59:00,286773,Heavenly
29,Cigarettes After Sex,2023-10-30 17:04:00,275186,You're the Only Good Thing In My Life
30,Cigarettes After Sex,2023-10-30 17:09:00,292853,Touch
31,Cigarettes After Sex,2023-10-30 17:14:00,285146,Hentai
32,Cigarettes After Sex,2023-10-30 17:18:00,256800,Cry
33,Cigarettes After Sex,2023-10-30 17:22:00,245840,Falling In Love
34,Cigarettes After Sex,2023-10-30 17:26:00,254626,Pure
35,Cigarettes After Sex,2023-10-30 17:32:00,320030,K.
36,Cigarettes After Sex,2023-10-30 17:36:00,290630,Each Time You Fall in Love
37,Cigarettes After Sex,2023-10-30 17:40:00,215150,Sunsetz
38,Cigarettes After Sex,2023-10-30 17:45:00,290616,Apocalypse
39,Cigarettes After Sex,2023-10-30 17:49:00,274576,Flash
40,Cigarettes After Sex,2023-10-30 18:16:00,93590,Sweet
41,Roxy Music,2023-10-30 18:17:00,5034,More Than This
42,Cigarettes After Sex,2023-10-30 18:21:00,290616,Apocalypse
43,Cigarettes After Sex,2023-10-30 18:27:00,320030,K.
44,Cigarettes After Sex,2023-10-30 18:30:00,215150,Sunsetz
45,Cigarettes After Sex,2023-10-30 18:35:00,256800,Cry
46,Cigarettes After Sex,2023-10-30 18:40:00,292110,Sweet
47,Cigarettes After Sex,2023-10-30 18:44:00,286773,Heavenly
48,Cigarettes After Sex,2023-10-30 18:49:00,286293,Nothing's Gonna Hurt You Baby
49,Cigarettes After Sex,2023-10-30 18:53:00,245840,Falling In Love
50,Cigarettes After Sex,2023-10-30 18:57:00,234174,Pistol
51,Cigarettes After Sex,2023-10-30 19:02:00,264453,You're All I Want
52,Cigarettes After Sex,2023-10-30 19:06:00,262560,Don't Let Me Go
53,Cigarettes After Sex,2023-10-30 19:11:00,11356,Kiss It Off Me
54,Cigarettes After Sex,2023-10-30 19:16:00,290616,Apocalypse
55,Cigarettes After Sex,2023-10-30 20:22:00,264294,K.
56,Cigarettes After Sex,2023-10-30 20:23:00,10495,Apocalypse
57,Cigarettes After Sex,2023-10-30 20:23:00,4746,K.
58,Roxy Music,2023-10-30 20:23:00,11783,More Than This
59,Cigarettes After Sex,2023-10-30 20:28:00,290616,Apocalypse
60,Cigarettes After Sex,2023-10-30 20:33:00,320030,K.
61,Cigarettes After Sex,2023-10-30 20:37:00,215150,Sunsetz
62,Cigarettes After Sex,2023-10-30 20:41:00,256800,Cry
63,Cigarettes After Sex,2023-10-30 20:46:00,292110,Sweet
64,Cigarettes After Sex,2023-10-30 20:51:00,286773,Heavenly
65,Cigarettes After Sex,2023-10-30 20:56:00,286293,Nothing's Gonna Hurt You Baby
66,Cigarettes After Sex,2023-10-30 21:00:00,245840,Falling In Love
